,Married,Number_of_Dependents,Tenure_in_Months,Phone_Service,Multipl_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Customer_Status
3224,No,0,29,Yes,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,One Year,No,Credit Card,Stayed
3227,Yes,0,54,Yes,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,Stayed
3228,No,0,49,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,Stayed
3229,Yes,0,72,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,Stayed
3230,Yes,0,9,Yes,Yes,Yes,Cable,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,Churned
3231,No,0,1,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
3232,No,0,31,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,Churned
3233,Yes,0,56,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,Churned
3234,Yes,1,70,Yes,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Two Year,No,Credit Card,Stayed
3235,Yes,0,55,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,Stayed
3236,No,0,3,Yes,No,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-Month,No,Credit Card,Churned
3237,Yes,0,5,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
3238,No,0,3,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Churned
3239,Yes,0,26,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two Year,Yes,Credit Card,Stayed
3240,No,0,25,Yes,No,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
3241,No,0,15,Yes,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Churned
3242,Yes,0,31,Yes,No,Yes,DSL,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,Stayed
3243,No,0,1,Yes,No,Yes,Cable,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,Churned
3244,No,0,18,Yes,Yes,Yes,Cable,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,Stayed
3245,No,0,13,Yes,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
3249,Yes,3,61,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Stayed
3250,No,0,27,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
3252,Yes,0,64,Yes,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,One Year,Yes,Credit Card,Stayed
3253,No,0,28,Yes,No,Yes,Cable,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
3255,Yes,2,34,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
3256,No,0,36,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed
3259,No,0,4,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,Churned
3260,Yes,0,4,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
3263,No,0,15,Yes,No,Yes,Cable,Yes,Yes,No,No,Yes,Yes,One Year,No,Credit Card,Stayed
3264,Yes,0,7,Yes,No,Yes,DSL,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Churned
3265,No,0,35,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
3266,Yes,0,2,Yes,No,Yes,Cable,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Churned
3269,No,0,27,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,Churned
3270,Yes,0,71,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
3271,No,0,30,Yes,No,Yes,DSL,Yes,Yes,Yes,No,No,No,One Year,No,Credit Card,Stayed
3275,Yes,1,57,Yes,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
3276,Yes,0,52,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,Stayed
3278,No,0,1,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
3279,No,0,68,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
3281,Yes,0,72,Yes,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,Stayed
3282,No,0,26,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
3283,No,3,14,Yes,No,Yes,Cable,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,Stayed
3284,No,0,30,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,Stayed
3286,Yes,0,49,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,Stayed
3288,Yes,0,71,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,Stayed
3291,Yes,1,31,Yes,No,Yes,DSL,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,Stayed
3292,No,0,50,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Churned
3294,Yes,2,47,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Stayed
3296,Yes,0,23,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
3298,Yes,0,56,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
3300,Yes,2,30,Yes,No,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
3301,No,0,43,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed
3302,No,0,54,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,Churned
3303,Yes,1,9,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
3304,No,0,27,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,Stayed
3306,Yes,0,7,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,Churned
3307,No,0,6,Yes,No,Yes,Cable,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,Churned
3308,Yes,0,51,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,Stayed
3309,No,0,2,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,Churned
3311,No,0,38,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,Stayed
3312,No,0,11,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
3313,No,0,56,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,Stayed
3314,Yes,0,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
3316,Yes,0,7,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
3319,No,0,1,Yes,No,Yes,Cable,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,Churned
3321,No,0,26,Yes,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,Stayed
3322,No,0,3,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
3323,No,0,1,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,Churned
3324,Yes,2,67,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,Stayed
3325,Yes,0,65,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,Stayed
3326,No,2,43,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Credit Card,Stayed
3329,Yes,1,30,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
3330,Yes,1,32,Yes,No,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
3331,Yes,3,25,Yes,No,Yes,DSL,No,Yes,No,No,No,Yes,One Year,No,Credit Card,Stayed
3333,Yes,2,67,Yes,No,Yes,Cable,Yes,Yes,No,No,No,No,Two Year,Yes,Bank Withdrawal,Stayed
3334,Yes,0,66,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,Stayed
3335,Yes,1,4,Yes,No,Yes,Cable,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
3336,Yes,3,50,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Stayed
3338,No,0,64,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,Stayed
3340,No,0,51,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,Stayed
3341,No,0,1,Yes,No,Yes,Cable,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
3342,No,0,10,Yes,No,Yes,DSL,No,Yes,No,Yes,Yes,Yes,One Year,No,Credit Card,Stayed
3343,Yes,3,17,Yes,No,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
3345,Yes,0,58,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Churned
3346,Yes,0,59,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
3347,No,0,24,Yes,No,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,Stayed
3349,Yes,0,3,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,Churned
3350,Yes,0,55,Yes,No,Yes,DSL,Yes,Yes,No,No,No,Yes,Two Year,No,Credit Card,Stayed
3351,Yes,0,43,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
3352,No,1,1,Yes,No,Yes,Cable,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,Churned
3353,No,0,11,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
3357,Yes,0,29,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
3358,Yes,1,71,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two Year,No,Bank Withdrawal,Stayed
3359,Yes,0,48,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,Stayed
3360,Yes,0,36,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
3361,Yes,0,50,Yes,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,Stayed
3365,Yes,0,56,Yes,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,One Year,No,Bank Withdrawal,Stayed
3366,Yes,0,43,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,Stayed
3367,No,0,25,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
3368,No,0,25,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,Churned
3369,Yes,0,62,Yes,No,Yes,Cable,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Credit Card,Stayed
3370,Yes,3,49,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
3372,Yes,0,1,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
3373,Yes,0,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Mailed Check,Stayed
3374,Yes,1,63,Yes,No,Yes,DSL,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed
3375,No,0,54,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,Stayed
3376,Yes,0,33,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,Churned
3377,No,0,31,Yes,Yes,Yes,Cable,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
3378,No,0,10,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Churned
3379,Yes,0,59,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,Stayed
3380,No,1,9,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
3384,No,0,38,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,Two Year,No,Bank Withdrawal,Stayed
3385,No,0,16,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
3388,Yes,0,64,Yes,No,Yes,Cable,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Mailed Check,Stayed
3389,Yes,0,28,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,One Year,No,Bank Withdrawal,Stayed
3390,Yes,1,71,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,One Year,Yes,Credit Card,Stayed
3391,No,0,21,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,Stayed
3392,Yes,3,31,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,Yes,One Year,No,Bank Withdrawal,Stayed
3393,Yes,0,37,Yes,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,Stayed
3394,Yes,3,68,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
3395,No,0,34,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,Month-to-Month,No,Bank Withdrawal,Stayed
3397,Yes,1,28,Yes,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,Stayed
3399,No,0,2,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
3400,No,0,17,Yes,No,Yes,Cable,No,No,No,No,No,Yes,One Year,No,Credit Card,Stayed
3401,Yes,2,69,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
3402,Yes,0,37,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Two Year,No,Credit Card,Stayed
3404,No,0,1,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,Churned
3405,Yes,0,72,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Stayed
3406,Yes,3,8,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
3409,No,0,4,Yes,Yes,Yes,Cable,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,Stayed
3410,Yes,0,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
3411,Yes,2,67,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Stayed
3412,No,0,9,Yes,No,Yes,Cable,No,Yes,Yes,No,No,No,Month-to-Month,No,Mailed Check,Churned
3413,No,0,4,Yes,No,Yes,Cable,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,Churned
3414,No,0,22,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,Stayed
3415,No,0,48,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,Stayed
3417,Yes,0,66,Yes,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two Year,No,Bank Withdrawal,Stayed
3419,Yes,0,1,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
3421,Yes,3,56,Yes,No,Yes,Cable,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,Stayed
3422,No,0,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
3423,No,0,10,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,Stayed
3424,No,0,9,Yes,No,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Credit Card,Stayed
3426,No,0,1,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,Churned
3427,Yes,0,54,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
3428,No,0,1,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
3429,No,0,63,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
3430,No,0,53,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,Stayed
3431,No,0,1,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
3432,Yes,2,67,Yes,No,Yes,Cable,Yes,Yes,No,No,No,Yes,One Year,No,Credit Card,Stayed
3433,Yes,0,71,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
3434,Yes,3,42,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,One Year,Yes,Credit Card,Stayed
3436,Yes,0,57,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,Stayed
3437,Yes,3,35,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,Stayed
3440,No,0,25,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
3441,Yes,0,26,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,Stayed
3443,No,0,34,Yes,No,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,Stayed
3444,Yes,2,49,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,Stayed
3446,No,0,17,Yes,No,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
3447,No,0,53,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,Stayed
3448,Yes,0,70,Yes,No,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Credit Card,Stayed
3449,No,0,2,Yes,No,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Churned
3450,No,0,28,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
3452,Yes,1,72,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Two Year,Yes,Credit Card,Stayed
3454,Yes,0,31,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
3455,Yes,0,33,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
3457,No,0,32,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
3459,No,0,64,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,Stayed
3460,No,0,26,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
3462,No,0,13,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
3463,No,0,41,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
3464,No,0,8,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
3466,No,0,47,Yes,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,Stayed
3467,Yes,0,29,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
3469,No,0,57,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Churned
3470,No,0,42,Yes,No,Yes,Cable,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
3471,No,0,57,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
3472,No,0,1,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
3474,No,0,54,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
3475,Yes,0,33,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
3477,Yes,0,71,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,Stayed
3478,Yes,1,72,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed
3479,Yes,0,72,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
3485,Yes,0,62,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,Stayed
3486,Yes,2,42,Yes,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,Stayed
3487,No,0,11,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,Stayed
3488,Yes,0,68,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Churned
3489,Yes,2,41,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
3491,No,0,1,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,Churned
3492,No,0,2,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
3493,No,0,2,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
3494,No,0,49,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,Stayed
3495,No,0,36,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
3496,Yes,0,56,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,Stayed
3497,Yes,0,72,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
3498,Yes,0,71,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,Churned
3499,No,0,11,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
3500,Yes,0,11,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
3502,Yes,2,29,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,Stayed
3503,Yes,0,53,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,Stayed
3504,No,2,4,Yes,No,Yes,Cable,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,Churned
3507,Yes,0,63,Yes,No,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,One Year,Yes,Credit Card,Stayed
